"castle_1","castle_2","castle_3","castle_4","castle_5"
1,18,24,3,54
3,18,20,10,49
0,15,20,2,63
6,20,20,8,46
0,16,21,0,63
2,18,23,8,49
0,16,21,0,63
8,0,1,29,62
2,13,25,2,58
6,0,1,35,58
2,20,20,6,52
0,12,23,2,63
8,16,23,11,42
0,16,18,4,62
2,16,21,2,59
3,8,37,10,42
2,7,34,12,45
0,17,17,0,66
8,0,0,28,64
6,0,0,38,56
0,0,45,28,27
4,23,23,10,40
11,23,8,8,50
9,0,0,32,59
10,20,20,6,44
10,2,2,36,50
0,30,35,10,25
1,22,17,25,35
0,15,19,2,64
9,21,33,10,27
5,8,37,26,24
9,20,28,12,31
0,22,36,6,36
3,11,36,6,44
2,14,24,33,27
2,12,5,60,21
4,19,34,19,24
2,4,43,4,47
1,13,23,2,61
5,30,30,10,25
0,6,36,23,35
6,11,34,15,34
6,21,35,5,33
0,0,43,27,30
2,17,30,34,17
5,18,40,6,31
4,19,38,4,35
3,20,34,5,38
12,15,29,9,35
7,20,36,6,31
14,20,34,13,19
9,25,2,2,62
14,21,28,11,26
9,24,19,6,42
2,6,34,31,27
0,7,36,29,28
8,27,37,6,22
2,22,19,26,31
11,22,34,18,15
5,14,34,34,13
11,0,0,37,52
12,20,29,16,23
10,15,16,13,46
1,21,19,26,33
4,10,35,6,45
5,19,35,5,36
9,27,37,6,21
2,15,23,33,27
6,19,15,42,18
5,14,32,22,27
2,6,34,29,29
10,21,26,28,15
8,27,21,22,22
8,21,47,8,16
5,14,34,34,13
6,13,20,27,34
0,25,40,1,34
7,25,20,21,27
9,15,17,26,33
12,6,21,25,36
6,28,10,8,48
2,3,42,26,27
6,3,43,31,17
3,15,23,35,24
0,26,40,0,34
3,31,21,26,19
3,13,18,4,62
0,0,38,0,62
4,25,18,25,28
8,14,27,8,43
3,20,30,29,18
5,16,34,33,12
11,23,28,8,30
0,12,34,38,16
5,15,36,31,13
8,19,15,31,27
9,15,15,16,45
8,22,32,24,14
18,2,2,34,44
2,14,35,4,45
8,8,28,22,34
4,18,29,35,14
10,10,20,0,60
11,20,29,28,12
4,13,34,35,14
11,15,26,24,24
5,23,20,11,41
8,18,17,10,47
11,10,27,20,32
10,23,26,16,25
15,23,17,27,18
9,18,33,28,12
4,11,13,46,26
4,31,29,11,25
4,13,30,30,23
9,24,27,14,26
10,20,10,30,30
17,28,26,13,16
6,14,31,37,12
8,26,29,8,29
0,14,6,61,19
12,15,26,24,23
9,12,25,29,25
1,16,33,4,46
5,25,41,15,14
7,0,0,31,62
7,0,0,31,62
7,0,0,31,62
7,0,0,31,62
5,16,34,35,10
3,27,27,8,35
9,20,27,32,12
10,19,23,19,29
22,21,18,14,25
4,20,21,23,32
9,13,26,20,32
10,12,12,32,34
0,6,14,40,40
8,22,30,26,14
5,25,22,21,27
6,22,48,12,12
6,11,40,2,41
5,19,17,32,27
6,0,0,31,63
6,0,0,31,63
4,8,10,38,40
5,16,34,34,11
10,16,33,29,12
6,19,18,31,26
7,16,20,21,36
0,30,19,16,35
4,12,25,32,27
6,16,29,6,43
10,16,8,26,40
7,25,39,2,27
9,26,19,27,19
8,18,16,36,22
4,10,40,34,12
9,28,44,7,12
15,27,13,20,25
4,10,9,61,16
11,20,12,34,23
2,18,30,25,25
8,17,16,27,32
3,11,28,26,32
12,12,27,34,15
5,10,21,34,30
7,16,31,36,10
10,16,34,28,12
17,27,32,12,12
7,18,35,30,10
16,24,23,18,19
11,14,20,25,30
5,13,28,14,40
2,12,19,36,31
4,18,36,30,12
9,14,19,24,34
12,12,12,12,52
12,12,12,12,52
6,19,31,35,9
5,17,29,29,20
20,22,20,18,20
14,26,42,6,12
9,4,18,26,43
2,21,36,29,12
9,15,37,8,31
5,18,23,42,12
6,19,30,20,25
5,19,34,6,36
5,19,33,34,9
3,18,30,19,30
13,10,2,35,40
6,15,20,0,59
5,14,36,35,10
1,15,28,28,28
15,10,20,0,55
5,19,56,6,14
5,19,56,6,14
4,18,16,25,37
2,25,40,0,33
6,19,26,26,23
12,12,29,35,12
4,5,6,37,48
1,23,20,42,14
1,13,6,35,45
6,23,13,23,35
3,19,14,25,39
12,22,22,22,22
12,22,22,22,22
4,18,19,34,25
4,24,44,17,11
0,19,22,47,12
12,21,30,25,12
2,14,17,24,43
7,14,22,41,16
10,14,24,26,26
0,11,28,39,22
8,9,25,15,43
1,10,20,56,13
5,18,20,26,31
11,25,45,8,11
5,11,10,42,32
6,1,0,31,62
2,16,5,53,24
2,20,25,27,26
8,18,4,4,66
6,18,33,34,9
0,22,19,24,35
16,28,13,4,39
8,23,34,25,10
10,19,21,24,26
4,16,17,4,59
7,14,14,53,12
4,12,25,41,18
3,11,41,34,11
4,33,42,9,12
9,15,15,48,13
8,16,31,2,43
17,30,3,12,38
6,15,5,57,17
6,14,34,36,10
10,0,0,30,60
10,0,0,30,60
10,19,43,3,25
1,7,21,58,13
5,0,0,28,67
16,18,20,22,24
2,6,26,29,37
13,17,20,23,27
18,22,20,20,20
24,24,20,16,16
8,7,16,40,29
2,4,11,69,14
8,5,16,59,12
7,16,15,45,17
0,12,12,64,12
10,15,20,25,30
0,18,35,35,12
2,7,20,55,16
0,1,33,35,31
7,14,30,37,12
19,20,16,19,26
5,19,33,35,8
8,20,21,37,14
12,0,0,30,58
10,10,25,10,45
7,12,18,34,29
9,11,39,31,10
20,20,20,10,30
14,22,36,0,28
6,12,20,28,34
9,8,23,38,22
3,6,9,37,45
16,24,28,22,10
3,0,0,32,65
0,11,47,27,15
19,24,11,21,25
0,0,32,33,35
6,34,40,0,20
7,10,8,38,37
1,12,26,2,59
12,0,0,29,59
7,11,21,29,32
4,6,30,30,30
4,6,30,30,30
4,21,34,5,36
9,24,41,18,8
6,19,34,5,36
5,9,22,52,12
3,6,32,47,12
3,12,11,62,12
6,11,27,44,12
7,19,20,24,30
9,14,24,30,23
6,19,33,34,8
19,23,14,6,38
6,19,33,34,8
6,19,33,34,8
6,19,33,34,8
6,19,33,34,8
6,19,33,34,8
2,11,4,58,25
7,18,32,33,10
11,16,35,28,10
11,31,18,19,21
10,18,20,25,27
0,0,32,33,35
8,28,44,10,10
10,17,0,31,42
10,18,26,2,44
0,0,10,65,25
10,15,19,24,32
17,14,21,25,23
2,6,28,47,17
1,7,11,69,12
5,7,17,52,19
2,2,28,32,36
11,15,21,27,26
12,14,14,30,30
3,13,14,31,39
9,21,31,3,36
1,3,19,42,35
11,6,5,36,42
9,12,20,28,31
6,6,13,63,12
5,19,2,62,12
7,14,14,16,49
0,0,39,23,38
4,8,42,11,35
5,5,25,29,36
9,4,4,29,54
4,15,8,34,39
0,0,39,25,36
13,23,23,28,13
6,18,33,35,8
0,14,0,56,30
3,4,34,29,30
7,16,16,26,35
0,9,22,41,28
11,15,22,21,31
20,20,20,20,20
20,20,20,20,20
2,2,36,35,25
20,20,20,20,20
20,20,20,20,20
20,20,20,20,20
9,17,28,20,26
2,10,10,26,52
11,15,19,23,32
4,6,5,57,28
4,15,12,59,10
12,13,21,26,28
9,15,32,35,9
3,4,40,24,29
7,17,19,30,27
4,4,19,39,34
7,14,22,26,31
11,15,20,25,29
6,9,19,52,14
16,12,11,33,28
4,12,29,35,20
7,22,37,0,34
17,25,28,0,30
3,10,17,60,10
7,14,22,32,25
10,0,0,30,60
7,14,23,45,11
20,20,20,20,20
6,6,47,6,35
8,9,16,4,63
5,15,13,57,10
12,2,2,26,58
1,4,24,58,13
10,16,17,34,23
8,4,26,52,10
9,13,37,3,38
6,0,0,51,43
0,8,49,31,12
9,6,25,45,15
6,19,33,34,8
9,19,34,30,8
12,0,0,44,44
7,18,24,27,24
0,9,22,29,40
5,4,19,21,51
6,13,20,27,34
0,0,37,29,34
4,20,36,5,35
7,20,35,4,34
7,14,25,30,24
11,22,34,23,10
8,13,24,25,30
4,2,12,52,30
0,0,36,32,32
9,17,25,37,12
0,24,36,0,40
0,0,36,26,38
0,10,26,55,9
1,13,20,13,53
6,19,33,35,7
6,19,33,35,7
4,11,4,35,46
6,19,33,35,7
2,16,43,29,10
6,19,33,35,7
12,11,15,29,33
0,0,35,50,15
10,4,4,24,58
7,9,8,66,10
2,3,0,33,62
2,5,23,6,64
4,10,18,42,26
22,8,8,15,47
5,16,13,57,9
11,22,28,30,9
0,0,31,33,36
2,2,27,37,32
4,19,5,31,41
0,19,0,54,27
8,16,27,36,13
4,14,24,35,23
12,12,12,52,12
6,11,40,33,10
8,0,0,27,65
0,4,32,34,30
9,3,22,31,35
0,0,45,25,30
4,4,15,28,49
3,11,30,44,12
2,16,22,50,10
20,15,40,0,25
8,16,39,29,8
11,10,32,37,10
7,19,10,54,10
7,15,21,35,22
6,19,38,2,35
11,16,5,37,31
5,8,27,29,31
9,6,15,60,10
2,7,23,25,43
0,9,25,46,20
8,20,33,31,8
12,36,12,21,19
3,7,22,58,10
10,10,10,35,35
6,6,32,31,25
5,19,35,32,9
8,8,8,37,39
5,12,13,20,50
5,16,16,29,34
0,12,0,54,34
3,11,26,43,17
9,13,15,36,27
0,6,40,26,28
5,10,24,49,12
8,10,36,36,10
6,19,33,35,7
7,13,25,37,18
8,22,19,24,27
15,0,0,25,60
2,12,20,56,10
8,14,22,45,11
22,22,11,22,23
2,2,37,28,31
8,16,33,34,9
6,16,40,30,8
8,9,24,48,11
4,8,24,34,30
5,9,22,51,13
