"castle_1","castle_2","castle_3","castle_4","castle_5"
100,0,0,0,0
54,4,4,14,24
52,42,2,2,2
25,0,0,25,50
25,0,0,25,50
25,0,0,25,50
25,0,0,25,50
24,2,3,25,46
39,28,20,10,3
21,0,0,26,53
32,26,28,14,0
20,0,0,25,55
36,28,20,12,4
20,2,2,26,50
20,2,2,26,50
36,20,36,4,4
32,32,32,2,2
27,22,29,20,2
29,28,28,15,0
28,27,28,15,2
22,13,16,21,28
20,22,16,22,20
18,17,34,27,4
16,2,4,28,50
15,0,0,17,68
28,28,29,15,0
28,28,29,15,0
28,28,29,15,0
28,28,28,16,0
19,14,22,24,21
26,27,29,16,2
26,26,26,16,6
20,25,17,20,18
20,23,35,22,0
16,44,35,2,3
13,0,0,29,58
13,0,0,29,58
24,24,32,20,0
24,24,26,26,0
24,24,26,26,0
24,24,24,27,1
24,24,24,24,4
24,16,20,20,20
24,6,15,29,26
23,27,32,18,0
23,27,32,18,0
23,27,31,19,0
23,27,31,19,0
23,27,31,17,2
22,26,32,20,0
22,25,30,21,2
22,24,34,20,0
22,23,25,28,2
22,22,30,26,0
22,22,28,24,4
22,22,24,28,4
22,22,24,26,6
22,22,33,23,0
22,22,32,22,2
22,22,32,22,2
22,22,32,22,2
22,22,31,25,0
22,22,30,26,0
22,22,30,22,4
22,22,27,26,3
22,22,25,27,4
22,22,22,22,12
22,22,22,22,12
22,22,22,22,12
22,22,22,22,12
13,22,13,48,4
12,13,16,38,21
12,2,2,27,57
12,2,2,26,58
12,2,2,21,63
11,2,2,26,59
11,2,6,29,52
11,0,0,29,60
21,25,32,22,0
20,50,10,10,10
20,23,25,28,4
20,25,35,20,0
20,21,23,24,12
20,20,35,25,0
20,20,35,25,0
20,20,20,20,20
20,20,20,20,20
20,20,20,20,20
20,20,20,20,20
20,20,20,20,20
20,20,20,20,20
20,20,20,20,20
20,12,14,27,27
18,21,28,31,2
11,2,2,28,57
10,0,0,30,60
10,0,0,30,60
10,0,0,30,60
10,0,0,30,60
21,27,31,18,3
20,22,22,34,2
20,20,20,20,20
19,20,20,20,21
18,20,21,20,21
18,18,20,22,22
18,26,33,21,2
18,22,25,20,15
17,26,34,21,2
17,22,33,26,2
17,20,37,26,0
16,20,20,22,22
16,18,33,31,2
16,16,33,33,2
10,15,22,22,31
8,2,7,35,48
20,29,33,18,0
18,14,16,23,29
17,26,34,21,2
16,25,35,24,0
15,25,37,23,0
15,22,35,26,2
15,20,25,29,11
15,19,23,27,16
14,30,31,19,6
8,2,35,24,31
7,29,27,34,3
7,0,0,31,62
7,0,0,31,62
7,0,0,31,62
7,0,0,23,70
18,24,15,21,22
14,25,34,23,4
14,22,37,23,4
14,24,38,24,0
14,22,38,26,0
14,25,39,22,0
13,21,37,29,0
13,18,31,38,0
13,17,23,29,18
13,17,21,25,24
13,17,20,23,27
12,22,29,33,4
12,23,35,18,12
12,18,37,29,4
12,15,35,36,2
12,38,39,11,0
12,17,41,24,6
12,12,13,31,32
8,17,42,31,2
7,20,11,60,2
7,2,2,22,67
6,0,0,26,68
20,30,30,20,0
17,30,24,18,11
15,30,10,30,15
